,place,title,artist,description,url,date,open_,start
31,WWW X,YUME LIVE DEATH MATCH supported by Skream! VOL.02,夢みるアドレセンス / こぶしファクトリー,,http://www-shibuya.jp/schedule/009140.php,2018-06-20,18:15 , 19:00
32,WWW,『夢怪物無銭出稽古』,DREAMING MONSTER / ワンダーウィード / KNU / VICTORIA SQUAD,,http://www-shibuya.jp/schedule/009171.php,2018-06-20,18:30 , 19:00
33,WWW,フォーカード LIVE 2018,ミツメ / 踊Foot Works / 福士誠治 / 滝口幸広 / 真山明大 / 飯塚貴士,,http://www-shibuya.jp/schedule/009033.php,2018-06-21,18:00 , 19:00
34,WWW X,TAKUI NAKAJIMA LIVE TOUR 2018（16 BEATS ONLY!!）Dance！Feel The Noize.,中島卓偉,,http://www-shibuya.jp/schedule/008841.php,2018-06-22,19:00 , 19:30
35,WWW,Anly x Leola 〜Sun Night〜,Anly / Leola / オープニングアクト: 栗もえか,,http://www-shibuya.jp/schedule/008991.php,2018-06-22,18:00 , 19:00
36,WWW X,"フィロソフィーのダンス東名阪ツアー「Girls Are Back In Town VOL,1」アフターパーティ",フィロソフィーのダンス,,http://www-shibuya.jp/schedule/009125.php,2018-06-23,16:00 , 17:00
37,WWW,カネコアヤノ 東名阪 単独演奏会 2018　東京編,カネコアヤノ,,http://www-shibuya.jp/schedule/008810.php,2018-06-23,17:30 , 18:00
38,WWW β,Tohji EP “9.97” Release Party,[LIVE]：Tohji / Fuji Taito / Sleet Mage / [DJ]：ChuBEI / Supernatural / 荒井優作 / Threepee Boys...,,http://www-shibuya.jp/schedule/009101.php,2018-06-23,24:00 , 24:00
39,WWW,"NEW ALBUM ""dawn"" RELEASE PARTY -SILENT POETS SPECIAL DUB BAND LIVE SHOW-","SILENT POETS SPECIAL DUB BAND feat. 5lack, NIPPS, こだま和文, 武田カオリ, asuka ando, 山崎円城 (F.I.B J...",,http://www-shibuya.jp/schedule/009010.php,2018-06-24,18:00 , 19:00
40,WWW X,DRIP TOKYO @ WWW X,雨のパレード / odol / PAELLAS,,http://www-shibuya.jp/schedule/009017.php,2018-06-24,17:00 , 18:00
41,WWW,UNiTE. ONEMAN TOUR 2018 ｢強くてNEW GAME｣,ユナイト,,http://www-shibuya.jp/schedule/008958.php,2018-06-25,18:15 , 19:00
42,WWW X,チャットモンチー「誕生」リリースイベント誕生会,チャットモンチー / 月の満ちかけ / ペペッターズ,,http://www-shibuya.jp/schedule/009135.php,2018-06-25,18:30 , 19:00
43,WWW,"古川麦「シースケープ」リリース記念ライブ ""光の街""","Baku Furukawa with the Seascape Orchestra 古川麦 (vo, gt) / 田中佑司 (dr) / 千葉広樹 (b) / 須原杏 (vn) ...",,http://www-shibuya.jp/schedule/008835.php,2018-06-26,19:00 , 20:00
44,WWW,キミイロプロジェクト3ヶ月連続ワンマンライブ〜魂の共有〜,キミイロプロジェクト / キミイロユース,,http://www-shibuya.jp/schedule/009041.php,2018-06-27,18:00 , 18:45
45,WWW,Goat Girl Japan Tour 2018,Goat Girl / サポートアクト：TAWINGS,,http://www-shibuya.jp/schedule/008995.php,2018-06-28,19:00 , 19:30
46,WWW X,スタプラ東京Vol.1,ロッカジャポニカ / はちみつロケット / 桜エビ〜ず / スタプラ東京公式オープニングチーム マジェスティックセブン(OA),,http://www-shibuya.jp/schedule/009143.php,2018-06-29,18:30 , 19:00
47,WWW,VIDEOTAPEMUSIC × WWW Presents SOUTHERN SCREEN -南国電影-,[LIVE]：VIDEOTAPEMUSIC / 鶴岡龍 / 民謡クルセイダーズ / [DJ]：okadada / Young-G(stillichimiya) / 出張東西相會,,http://www-shibuya.jp/schedule/009062.php,2018-06-29,23:30 , 23:30
48,WWW,"グッドラックヘイワ presents ""Exhibition""",グッドラックヘイワ / imai /【映像】山口崇司 / 橋本麦,,http://www-shibuya.jp/schedule/008840.php,2018-06-30,16:30 , 17:30
49,WWW X,なあ、、聞いた？ななもりとジェル、ライブかますってよぉ・・・,ななもり。 / ジェル,,http://www-shibuya.jp/schedule/009175.php,2018-06-30,,
50,WWW β,解体新書 feat. Imre Kiss & S Olbricht - Lobster Theremin x Budapes -,Imre Kiss / S Olbricht / Cemetery - LIVE - / Romy Mats / VJ Camel / Bruna / Tomii Meme / J...,,http://www-shibuya.jp/schedule/009136.php,2018-06-30,24:00 ※未成年者の入場不可・要顔写真付きID , You must be 20 or over with Photo ID to enter.
